Name,Date,Country
Allen Mendez,2024-12-11,Armenia
Gregory Martin,2025-01-18,Afghanistan
Trevor Steele,2024-12-25,Madagascar
Erik Collins,2025-02-02,Spain
Karen Carlson,2025-01-18,Falkland Islands (Malvinas)
Hannah Ramos,2024-12-22,Cook Islands
Matthew Hernandez,2025-01-14,Guinea-Bissau
Denise Le,2025-02-13,Kenya
Donald Knight,2024-12-24,Puerto Rico
James Jimenez,2024-12-23,Uganda
Gregory Gould,2025-01-05,Vietnam
Tammy Macdonald,2024-12-15,Saint Martin
Matthew Evans,2024-12-28,Zambia
Glenn Owens,2025-01-07,Turkmenistan
Kathryn Mason,2025-01-06,Bolivia
Jennifer Hoffman,2025-02-16,Libyan Arab Jamahiriya
Eric Bass,2025-01-16,Zimbabwe
Nicholas Owens,2024-12-03,Aruba
Tina Campbell,2024-11-26,Botswana
Nathan Williams,2025-02-14,Mauritania
Michael Hill,2025-02-18,France
Rebecca Jones,2025-01-03,Guyana
Clifford Ochoa,2025-01-01,Tajikistan
Ryan Johnson,2024-12-14,American Samoa
Victor Robinson,2025-01-25,Australia
Tiffany Hobbs,2024-11-22,Saint Vincent and the Grenadines
Richard Hill,2024-12-24,United Arab Emirates
Kevin Allen,2025-01-12,Puerto Rico
David Howell,2025-01-06,Faroe Islands
Kirk Marshall,2025-01-08,Italy
Lisa Berger,2025-01-24,Vietnam
Kenneth Burns,2025-02-15,Czech Republic
Mark Bauer,2025-01-03,Estonia
David Carroll,2024-11-26,San Marino
Kaitlyn Yang,2024-11-28,Niue
Jonathan Miller,2024-12-19,Russian Federation
Lisa Mcgee,2025-02-05,Liechtenstein
Cynthia Fitzgerald,2024-11-23,Suriname
Ryan Smith,2024-12-31,Belize
Dr. Pamela Lopez,2024-12-16,Pakistan
Haley Roy,2025-01-18,Brunei Darussalam
Stephanie Shelton,2025-01-12,Eritrea
Robert Stephens,2025-01-17,Kiribati
Jessica Schwartz,2025-01-17,Macao
Andrew Calderon,2024-12-04,Ireland
Crystal Davis,2025-02-05,Nauru
Michelle Lewis,2025-01-13,Saint Barthelemy
Erika Le,2025-01-24,Egypt
Darren Mullins,2025-01-29,Netherlands Antilles
Omar Sherman,2024-11-29,Namibia
Stephanie Day,2025-02-18,Switzerland
Patrick Sosa,2025-02-08,Taiwan
Carolyn Perez,2024-12-27,Uganda
James Richardson,2024-12-17,Gabon
Justin Marshall,2025-01-01,Mayotte
Laura Patton,2025-02-11,Russian Federation
David Walker,2024-11-23,Sierra Leone
Fred Gallegos,2025-01-06,Italy
Amy Blevins,2024-12-25,Azerbaijan
Debra Zimmerman,2024-12-26,Burundi
William Jackson,2025-01-05,Somalia
Michael Wilson,2024-12-20,Nepal
Monica Butler,2024-12-20,Cape Verde
James Owens,2025-02-13,Tuvalu
James Blair,2025-02-06,Cote d'Ivoire
Amanda Harrison,2024-11-24,Congo
Emily Mccarthy,2025-01-13,Jersey
Erika Nelson,2025-01-29,Norway
Kenneth Reyes,2025-02-19,Puerto Rico
Alexander Rodriguez,2025-02-09,Guyana
Stanley Simmons,2024-12-07,Oman
Cameron Green,2025-01-10,New Zealand
Crystal Cox,2024-12-08,Nigeria
Thomas Lam,2025-01-14,Saint Vincent and the Grenadines
Noah Gross,2025-01-09,Belgium
Kelly Manning,2025-01-12,Guadeloupe
Jimmy Smith,2025-01-08,Saint Kitts and Nevis
Justin Osborne,2024-12-01,North Macedonia
Randy Carter,2025-01-24,Swaziland
Russell Elliott,2024-12-15,Estonia
Christopher Dawson,2025-01-06,Saint Helena
Dawn Martinez,2025-01-07,Taiwan
Joel Mitchell,2025-02-06,Nauru
Angelica Walker,2025-01-02,American Samoa
Diana Lowe,2024-12-04,Myanmar
Ariana Roach,2024-12-07,Benin
Tammy Warren DVM,2025-01-17,Nicaragua
Michael Pratt,2025-01-18,Seychelles
Janet Phillips,2025-01-04,Antarctica (the territory South of 60 deg S)
Juan Holmes MD,2024-12-18,Italy
Kevin Butler,2025-01-02,Ghana
Tommy Griffin,2025-01-13,Turkey
Daniel Fleming,2025-01-27,Cuba
Shannon Thompson,2025-02-09,Nepal
Kristen Ellis,2025-01-01,Rwanda
Kelly Kramer,2024-11-28,Malawi
Anthony Sutton,2024-11-30,Brazil
Eric Irwin,2024-11-25,Turkmenistan
Andre Bell,2025-02-11,Saint Kitts and Nevis
Jessica Rivera,2024-12-20,Guinea
Christopher Rowe,2024-12-23,Costa Rica
Melissa Murray,2025-01-17,Paraguay
Nancy Martin,2024-11-27,Georgia
Kara Morris,2025-01-31,Finland
Jasmine Armstrong,2025-01-29,Malaysia
Dr. Douglas Stanley,2024-12-23,French Guiana
Douglas Oneal,2024-12-23,Liberia
David Benson,2024-11-26,Samoa
Barbara Burgess,2024-12-18,Tuvalu
Thomas Peters,2025-01-24,Mayotte
Amanda Underwood,2024-12-26,Myanmar
Allison Thompson,2025-01-16,Finland
Lori Howard DDS,2025-01-10,Saint Martin
Aaron Cruz,2024-12-30,Palestinian Territory
Eric Sullivan,2025-01-11,Costa Rica
Jose Cummings,2025-02-09,Croatia
Benjamin Powers,2024-12-18,Qatar
Kelly Rivera,2024-12-02,Tonga
Gregory Williams,2025-02-11,North Macedonia
Corey Hoffman,2025-01-03,Haiti
Sandra Harris,2024-11-29,Armenia
Travis Watson,2024-12-26,Bahamas
Colton Ponce,2024-12-16,Heard Island and McDonald Islands
Jason Johnson,2024-12-17,Martinique
Cynthia Burton,2025-01-29,Uganda
Glenda Thomas,2025-01-07,Micronesia
Thomas Fleming,2024-11-28,Korea
Russell Miller,2024-12-04,Bhutan
Charles Jones,2025-01-20,Serbia
Amanda Wang,2025-01-06,Kyrgyz Republic
Pamela Campbell,2024-12-06,Aruba
Rita Long,2024-12-20,Iraq
Charles Li,2024-12-15,Korea
Madison Lamb,2024-12-30,Macao
Denise Hicks,2024-12-19,United Arab Emirates
Oscar Adams,2025-01-12,Mauritius
Steven Stevens DVM,2024-12-02,Thailand
Marc Ford,2025-01-29,Uganda
Joshua Garcia,2025-01-12,Kyrgyz Republic
Sarah Rodriguez,2024-12-30,Barbados
Ian Hamilton,2025-01-10,Chad
Michael Carter,2024-12-25,Spain
Kelsey Oliver,2025-01-23,Slovakia (Slovak Republic)
Timothy Mcgrath,2025-02-19,Japan
Joshua Parker,2024-11-26,Solomon Islands
Alexis Clark,2025-02-17,Mayotte
Meagan Burgess,2024-12-10,Madagascar
Vicki Thomas,2025-02-13,Thailand
Michael Munoz,2025-01-23,Kenya
Michael Ortiz,2025-01-02,Denmark
Jose Macias,2025-01-08,Norway
Norma Martin DDS,2024-12-28,Vanuatu
Charles Beltran,2024-12-16,Nigeria
Julie French,2024-11-29,Trinidad and Tobago
David Prince,2025-02-03,North Macedonia
Tina Ford,2025-02-05,Pitcairn Islands
Peter Avery,2024-12-10,Suriname
Leon Nichols,2025-02-14,American Samoa
Melanie Callahan,2025-01-06,United States of America
Krista Brown,2024-12-04,Canada
Erica Harmon,2024-12-21,Kyrgyz Republic
Ricky Roth,2024-12-07,Liberia
Chris Lewis,2024-12-04,Israel
John Martin,2024-12-17,Ireland
Nicole Martinez,2025-01-29,Svalbard & Jan Mayen Islands
Mrs. Rachael Hester,2025-01-20,Ecuador
Amy Perkins,2025-01-21,Martinique
Mark Harvey,2025-01-09,Spain
Wayne Davis,2025-02-18,Rwanda
Sandra Sanchez,2024-12-17,Bahrain
Mary Moody,2024-12-09,Anguilla
James Johnson,2024-12-03,Japan
Lawrence Grant,2024-12-21,Jamaica
Ashley Hayes,2024-12-11,Kiribati
Nicole Alvarez,2024-12-07,Hungary
Ashley Arnold,2025-01-09,Cocos (Keeling) Islands
Jasmine Riddle,2025-02-03,Bermuda
Donna Lopez,2025-01-13,Somalia
Thomas Lewis,2025-01-25,Senegal
Jeffrey Marsh,2025-01-14,Guadeloupe
Rachael Williams,2025-02-01,Hong Kong
Alexis Harris,2024-12-28,Kuwait
Cynthia Thomas,2024-11-23,Antarctica (the territory South of 60 deg S)
Rebekah Lyons,2025-01-09,Saint Helena
Michael Carter,2025-01-29,Angola
James Perez,2024-11-22,Singapore
Ryan Roth,2025-01-29,Thailand
Catherine Gordon,2025-02-16,Saint Vincent and the Grenadines
Brian Lewis,2024-12-30,Cuba
George Bass,2025-01-22,Niger
Rodney Hughes,2025-01-22,Cuba
David Cook,2025-01-07,Cape Verde
Jean Weaver,2025-02-01,Greece
Michael Sanders,2024-11-25,Mauritius
Amy Moore,2025-01-01,Bosnia and Herzegovina
Michael Bruce,2024-11-28,Armenia
Ronald Smith,2024-12-22,Maldives
Brandy Harper,2024-12-26,British Virgin Islands
Joseph Harper,2025-02-11,Austria
Morgan Rivera,2024-11-25,Sierra Leone
Erin Thomas,2024-11-28,Macao
Robert Roach,2025-01-31,Mauritania
Nancy Williamson,2024-11-27,Korea
Joanne Pratt,2024-12-02,Portugal
Casey Collins,2025-01-03,Kenya
Jason Bradshaw,2025-01-07,Gambia
Isabel Martin,2024-12-29,Cayman Islands
John Young,2024-12-13,San Marino
Rachael Lee,2025-02-07,Gabon
Kevin Jackson,2025-01-14,Finland
Sean Gonzales,2025-02-03,Belgium
Rachel Monroe,2025-01-07,Christmas Island
Amanda Cole,2025-02-02,Saint Pierre and Miquelon
Ana Wilkerson,2025-01-03,French Southern Territories
